"ID","Key","Name","Is Custom","Is Orderable","Is Navigable","Is Searchable","Clause Names","Schema Type","Schema Items","Schema Custom Type","Schema Custom ID","Schema System"
"customfield_11548","customfield_11548","Security Code Review (migrated) (migrated) (migrated)","True","True","True","True","Security Code Review (migrated) (migrated) (migrated)[Dropdown], Security Code Review (migrated) (migrated) (migrated), cf[11548]","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","11548",
"customfield_11668","customfield_11668","Risk Approver Required (migrated 2) (migrated)","True","True","True","True","Risk Approver Required (migrated 2) (migrated)[Radio Buttons], cf[11668], Risk Approver Required (migrated 2) (migrated)","option",,"com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons","11668",
"customfield_10217","customfield_10217","Size","True","True","True","True","Size[Dropdown], Size, cf[10217]","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","10217",
"timeestimate","timeestimate","Remaining Estimate","False","False","True","False","remainingEstimate, timeestimate","number",,,,"timeestimate"
"customfield_10218","customfield_10218","SDD Required","True","True","True","True","cf[10218], SDD Required[Dropdown], SDD Required","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","10218",
"customfield_10219","customfield_10219","Lane - Capabilities","True","True","True","True","Lane - Capabilities[Select List (cascading)], cf[10219], Lane - Capabilities","option-with-child",,"com.atlassian.jira.plugin.system.customfieldtypes:cascadingselect","10219",
"status","status","Status","False","False","True","True","status","status",,,,"status"
"customfield_10330","customfield_10330","Resource Platform","True","True","True","True","Resource Platform[Dropdown], cf[10330], Resource Platform","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","10330",
"customfield_10210","customfield_10210","Deployment Approver","True","True","True","True","cf[10210], Deployment Approver, Deployment Approver[User Picker (multiple users)]","array","user","com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker","10210",
"customfield_10694","customfield_10694","Severity","True","True","True","True","cf[10694], Severity, Severity[Dropdown]","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","10694",
"customfield_10211","customfield_10211","Deployment Approval Date","True","True","True","True","cf[10211], Deployment Approval Date, Deployment Approval Date[Time stamp]","datetime",,"com.atlassian.jira.plugin.system.customfieldtypes:datetime","10211",
"customfield_10212","customfield_10212","Environment Deployed","True","True","True","True","Environment Deployed, cf[10212], Environment Deployed[Short text]","string",,"com.atlassian.jira.plugin.system.customfieldtypes:textfield","10212",
"customfield_11665","customfield_11665","Configuration Item ID (migrated) (migrated)","True","True","True","True","Configuration Item ID (migrated) (migrated)[Dropdown], Configuration Item ID (migrated) (migrated), cf[11665]","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","11665",
"customfield_11786","customfield_11786","RoadMap","True","True","True","True","RoadMap[Dropdown], RoadMap, cf[11786]","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","11786",
"customfield_10213","customfield_10213","Reported during","True","True","True","True","Reported during[Dropdown], Reported during, cf[10213]","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","10213",
"customfield_11785","customfield_11785","Goal","True","True","True","True","Goal[Checkboxes], cf[11785], Goal","array","option","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes","11785",
"customfield_11664","customfield_11664","Risk and Impact Analysis (migrated) (migrated) (migrated)","True","True","True","True","Risk and Impact Analysis (migrated) (migrated) (migrated)[Short text], Risk and Impact Analysis (migrated) (migrated) (migrated), cf[11664]","string",,"com.atlassian.jira.plugin.system.customfieldtypes:textfield","11664",
"customfield_10324","customfield_10324","Targeted Communication Outside of Training Deck?","True","True","True","True","cf[10324], Targeted Communication Outside of Training Deck?, Targeted Communication Outside of Training Deck?[Dropdown]","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","10324",
"customfield_10204","customfield_10204","Approvers: Design Review","True","True","True","True","Approvers: Design Review, Approvers: Design Review[Paragraph], cf[10204]","string",,"com.atlassian.jira.plugin.system.customfieldtypes:textarea","10204",
"customfield_10325","customfield_10325","Problem Ticket ID","True","True","True","True","cf[10325], Problem Ticket ID, Problem Ticket ID[Short text]","string",,"com.atlassian.jira.plugin.system.customfieldtypes:textfield","10325",
"customfield_10205","customfield_10205","Approvers: Code Review","True","True","True","True","Approvers: Code Review[Paragraph], Approvers: Code Review, cf[10205]","string",,"com.atlassian.jira.plugin.system.customfieldtypes:textarea","10205",
"customfield_11779","customfield_11779","Impact","True","True","True","True","Impact, Impact[Rating], cf[11779]","number",,"jira.polaris:rating","11779",
"customfield_11416","customfield_11416","Start Date (migrated) (migrated)","True","True","True","True","cf[11416], Start Date (migrated) (migrated)[Date], Start Date (migrated) (migrated)","date",,"com.atlassian.jira.plugin.system.customfieldtypes:datepicker","11416",
"customfield_10326","customfield_10326","Problem Severity","True","True","True","True","Problem Severity[Dropdown], cf[10326], Problem Severity","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","10326",
"customfield_10206","customfield_10206","Task Approver","True","True","True","True","Task Approver, Task Approver[User Picker (multiple users)], cf[10206]","array","user","com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker","10206",
"customfield_11778","customfield_11778","Vulnerability","True","True","True","True","cf[11778], Vulnerability","any",,"com.atlassian.jira.plugins.jira-development-integration-plugin:vulnerabilitycf","11778",
"customfield_10327","customfield_10327","Deployed to Pricing","True","True","True","True","Deployed to Pricing[Short text], cf[10327], Deployed to Pricing","string",,"com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield","10327",
"aggregatetimeestimate","aggregatetimeestimate","? Remaining Estimate","False","False","True","False","","number",,,,"aggregatetimeestimate"
"customfield_10207","customfield_10207","Task Approval Date","True","True","True","True","Task Approval Date[Time stamp], cf[10207], Task Approval Date","datetime",,"com.atlassian.jira.plugin.system.customfieldtypes:datetime","10207",
"customfield_10328","customfield_10328","Deployed to Pricing Status","True","True","True","True","cf[10328], Deployed to Pricing Status[Short text], Deployed to Pricing Status","string",,"com.atlassian.jira.plugin.system.customfieldtypes:textfield","10328",
